区域,卡口名,经度,纬度
洋山综保区,洋山特殊综合保税区2号卡口（保税）,121.877742,30.873711
洋山综保区,洋山特殊综合保税区5号卡口（保税）,121.853676,31.082446
港区,洋山二期码头出卡口,122.058972,30.638727
港区,外一码头卡口,121.588282,31.363111
港区,外二码头卡口A,121.570926,31.365734
港区,外四码头卡口,121.642465,31.328418
港区,外五码头卡口B,121.657044,31.32092
港区,外六码头卡口,121.670038,31.313119
各特殊监管区域,外高桥保税区6号卡口,121.608206,31.330864
各特殊监管区域,外高桥保税区7号卡口,121.618951,31.304128
各特殊监管区域,外高桥港综保区卡口,121.557249,31.369966
各特殊监管区域,浦东机场综合保税区,121.780227,31.132792
各特殊监管区域,松江综合保税区A区,121.291408,31.008591
各特殊监管区域,松江综合保税区B区,121.170141,31.00135
各特殊监管区域,嘉定综合保税区,121.169036,31.397481
各特殊监管区域,青浦综合保税区,121.151654,31.187365
各特殊监管区域,金桥综合保税区,121.677806,31.223364
各特殊监管区域,漕河泾综合保税区,121.504971,31.103144
各特殊监管区域,奉贤综合保税区,121.432774,30.952771
